DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
514,OTHERBEER,2008,0.434,0,0.464187075
514,OTHERBEER,2009,0.504,0,0.495346775
514,OTHERBEER,2010,0.505,0,0.515305125
514,OTHERBEER,2011,0.527,0,0.481274738
515,BUDWEISER,2006,0.455,0,0.375982263
515,BUDWEISER,2007,0.417,0,0.39947245
515,BUDWEISER,2008,0.429,0,0.437155988
515,BUDWEISER,2009,0.424,0,0.469552938
515,BUDWEISER,2010,0.512,0,0.527115313
515,BUDWEISER,2011,0.484,0,0.50406225
515,COORS,2006,0.455,0,0.055850325
515,COORS,2007,0.417,0,0.056449538
515,COORS,2008,0.429,0,0.064148588
515,COORS,2009,0.424,0,0.071170713
515,COORS,2010,0.512,0,0.074936113
515,COORS,2011,0.484,0,0.081611375
515,CORONA,2006,0.455,0,0.034292038
515,CORONA,2007,0.417,0,0.0394628
515,CORONA,2008,0.429,0,0.036403113
515,CORONA,2009,0.424,0,0.035828013
515,CORONA,2010,0.512,0,0.040294988
515,CORONA,2011,0.484,0,0.037694888
515,MILLER,2006,0.455,0,0.189941588
515,MILLER,2007,0.417,0,0.202593738
515,MILLER,2008,0.429,0,0.223733563
515,MILLER,2009,0.424,0,0.226758325
515,MILLER,2010,0.512,0,0.243047413
515,MILLER,2011,0.484,0,0.238625063
515,OTHERBEER,2006,0.455,0,0.3883427
515,OTHERBEER,2007,0.417,0,0.419919713
515,OTHERBEER,2008,0.429,0,0.467797963
515,OTHERBEER,2009,0.424,0,0.503079325
515,OTHERBEER,2010,0.512,0,0.545188663
515,OTHERBEER,2011,0.484,0,0.5602544
517,BUDWEISER,2006,0.437,0,0.722870175
517,BUDWEISER,2007,0.432,0,0.769749425
517,BUDWEISER,2008,0.471,0,0.787206175
517,BUDWEISER,2009,0.446,0,0.937106488
517,BUDWEISER,2010,0.506,0,0.9214171
517,BUDWEISER,2011,0.508,0,0.9156139
517,COORS,2006,0.437,0,0.141488638
517,COORS,2007,0.432,0,0.167150713
517,COORS,2008,0.471,0,0.198552238
517,COORS,2009,0.446,0,0.223044963
517,COORS,2010,0.506,0,0.22510205
517,COORS,2011,0.508,0,0.224557363
517,CORONA,2006,0.437,0,0.102560075
517,CORONA,2007,0.432,0,0.112854775
517,CORONA,2008,0.471,0,0.10803075
517,CORONA,2009,0.446,0,0.105605963
517,CORONA,2010,0.506,0,0.10676605
517,CORONA,2011,0.508,0,0.11467905
517,MILLER,2006,0.437,0,0.325050025
517,MILLER,2007,0.432,0,0.346442538
517,MILLER,2008,0.471,0,0.38462135
517,MILLER,2009,0.446,0,0.406868375
517,MILLER,2010,0.506,0,0.400352913
517,MILLER,2011,0.508,0,0.39323035
517,OTHERBEER,2006,0.437,0,0.818272225
517,OTHERBEER,2007,0.432,0,0.867473813
517,OTHERBEER,2008,0.471,0,0.909030475
517,OTHERBEER,2009,0.446,0,0.899493138
517,OTHERBEER,2010,0.506,0,0.877619063
517,OTHERBEER,2011,0.508,0,0.892741863
518,BUDWEISER,2006,0.408,0,0.611638513
518,BUDWEISER,2007,0.427,0,0.65852415
518,BUDWEISER,2008,0.443,0,0.686286125
518,BUDWEISER,2009,0.447,0,0.794973263
518,BUDWEISER,2010,0.476,0,0.769665575
518,BUDWEISER,2011,0.517,0,0.82086435
518,COORS,2006,0.408,0,0.078866175
518,COORS,2007,0.427,0,0.093868463
518,COORS,2008,0.443,0,0.114830288
518,COORS,2009,0.447,0,0.130254238
518,COORS,2010,0.476,0,0.1429578
518,COORS,2011,0.517,0,0.1471716
518,CORONA,2006,0.408,0,0.069172938
518,CORONA,2007,0.427,0,0.073476913
518,CORONA,2008,0.443,0,0.072672663
518,CORONA,2009,0.447,0,0.0654787
518,CORONA,2010,0.476,0,0.068797488
518,CORONA,2011,0.517,0,0.076215638
518,MILLER,2006,0.408,0,0.200332138
518,MILLER,2007,0.427,0,0.2167884
518,MILLER,2008,0.443,0,0.2351059
518,MILLER,2009,0.447,0,0.255363975
518,MILLER,2010,0.476,0,0.24972155
518,MILLER,2011,0.517,0,0.247426988
518,OTHERBEER,2006,0.408,0,0.660928525
518,OTHERBEER,2007,0.427,0,0.706822775
518,OTHERBEER,2008,0.443,0,0.742519588
518,OTHERBEER,2009,0.447,0,0.728451525
518,OTHERBEER,2010,0.476,0,0.715366275
518,OTHERBEER,2011,0.517,0,0.726037475
524,BUDWEISER,2006,0.413,0,0.203465638
524,BUDWEISER,2007,0.43,0,0.20622575
524,BUDWEISER,2008,0.448,0,0.210036413
524,BUDWEISER,2009,0.426,0,0.239170775
524,BUDWEISER,2010,0.475,0,0.242496888
524,BUDWEISER,2011,0.497,0,0.229696875
524,COORS,2006,0.413,0,0.042832063
524,COORS,2007,0.43,0,0.047582125
524,COORS,2008,0.448,0,0.053037775
524,COORS,2009,0.426,0,0.058806063
524,COORS,2010,0.475,0,0.058495125
524,COORS,2011,0.497,0,0.062423638
524,CORONA,2006,0.413,0,0.047875575
524,CORONA,2007,0.43,0,0.05128175
524,CORONA,2008,0.448,0,0.048281913
524,CORONA,2009,0.426,0,0.041443438
524,CORONA,2010,0.475,0,0.047631788
524,CORONA,2011,0.497,0,0.043661563
524,MILLER,2006,0.413,0,0.104311325
524,MILLER,2007,0.43,0,0.106371125
524,MILLER,2008,0.448,0,0.10921585
524,MILLER,2009,0.426,0,0.115451213
524,MILLER,2010,0.475,0,0.116128925
524,MILLER,2011,0.497,0,0.119109038
524,OTHERBEER,2006,0.413,0,0.320665325
524,OTHERBEER,2007,0.43,0,0.33559825
524,OTHERBEER,2008,0.448,0,0.319576513
524,OTHERBEER,2009,0.426,0,0.353641
524,OTHERBEER,2010,0.475,0,0.379308588
